id_local,nom_lieu,ad_lieu,com_lieu,insee,type,date_maj,ouvert,source,Xlong,Ylat,nbre_pl,nbre_pmr,duree,horaires,proprio,lumiere,comm
1,Parking de covoiturage Agen,A62 Sortie 7 Agen,Le Passage,47201,Aire de covoiturage,2026-03-24,true,512377060,0.605866,44.166845,131,4,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, station vélo, arrêt de transport collectif )"
4,Parking de covoiturage Castelsarrasin,A62 Sortie 9 Castelsarrasin,Castelsarrasin,82033,Aire de covoiturage,2026-03-24,true,512377060,1.097194,44.056110,55,2,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, )"
12,Parking de covoiturage Langon,A62 Sortie 3 Langon,Langon,33227,Aire de covoiturage,2026-03-24,true,512377060,-0.262484,44.544782,78,2,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, arrêt de transport collectif )"
16,Parking de covoiturage Marmande,A62 Sortie 5 Marmande,Samazan,47285,Aire de covoiturage,2026-03-24,true,512377060,0.132274,44.436549,56,2,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, station vélo, arrêt de transport collectif )"
19,Parking de covoiturage Montgiscard,A61 Sortie 19.1 Montgiscard,Montgiscard,31381,Aire de covoiturage,2026-03-24,true,512377060,1.592580,43.460223,84,2,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, ombrières, station vélo, arrêt de transport collectif )"
22,Parking de covoiturage Pamiers,A66 Sortie 3 Pamiers,Pamiers,09225,Aire de covoiturage,2026-03-24,true,512377060,1.606373,43.144560,46,2,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, ombrières, station vélo, arrêt de transport collectif )"
25,Parking de covoiturage Podensac,A62 Sortie 2 Podensac,Illats,33205,Aire de covoiturage,2026-03-24,true,512377060,-0.365622,44.609381,49,2,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, )"
27,Parking de covoiturage Saint Jory,A62 Sortie 11 Saint Jory,Bruguières,31091,Aire de covoiturage,2026-03-24,true,512377060,1.396120,43.718338,70,2,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, )"
30,Parking de covoiturage Valence-d'Agen,A62 Sortie 8 Valence-d'Agen,Saint-Loup,82165,Aire de covoiturage,2026-03-24,true,512377060,0.867544,44.063837,55,2,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, station vélo, )"
31,Parking de covoiturage Villefranche de Lauragais,A61 Sortie 20 Villefranche de Lauragais,Villefranche-de-Lauragais,31582,Aire de covoiturage,2026-03-24,true,512377060,1.699758,43.401293,83,2,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, )"
61,Parking de covoiturage Béziers Ouest,A9 Sortie 36 Béziers Ouest,Béziers,34032,Aire de covoiturage,2026-03-24,true,512377060,3.216445,43.304576,165,5,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, borne de recharge pour véhicules électriques, )"
66,Parking de covoiturage Castelnaudary,A61 Sortie 21 Castelnaudary,Castelnaudary,11400,Aire de covoiturage,2026-03-24,true,512377060,1.951646,43.292797,60,3,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, ombrières, )"
75,Parking de covoiturage Perpignan Nord,A9 Sortie 41 Perpignan Nord,Rivesaltes,66164,Aire de covoiturage,2026-03-24,true,512377060,2.898873,42.781953,108,4,,24/7,ASF,true,"Services (dépose-minutes, places deux-roues, places PMR, abris, ombrières, borne de recharge pour véhicules électriques, arrêt de transport collectif )"
